comment_text,multi_labels
The Xfaiyx Smart Recorder failed me during an important interview. It kept shutting off randomly. Very disappointed.,"(2.0, 1.0, 0.0, 0.0)"
Very nice video Sarika and great insights shared by Priyanka :),"(5.0, 0.0, 0.0, 0.0)"
"Logan knows that his Crypto Zoo is a scam and he knows Coffezilla has a case against him so he’s going to use what I like to call the Disney Tactic, meaning he’s going to use his resources to draw it out long enough to where Coffezilla will run out of money and therefore win the case","(5.0, 0.0, 0.0, 0.0)"
Next level tech! Voice recorders just got a whole lot smarter,"(1.0, 0.0, 0.0, 0.0)"
"I’ve been using the Xfaiyx Smart Translator for client meetings, and while it’s helpful, I wish it had a faster response time.","(3.0, 1.0, 0.0, 1.0)"
lucky me..I know both language beaming face with smiling eyes,"(5.0, 0.0, 0.0, 0.0)"
This translator is amazing for learning new languages! I've been using it to practice Hindi and it's super helpful.,"(1.0, 1.0, 0.0, 0.0)"
"I used the Xfaiyx Smart Recorder during a podcast session, and it worked flawlessly. The sound clarity is top-notch!","(1.0, 1.0, 0.0, 0.0)"
HiIiIi LuDwiG hOw ArE YoU tOdAy :)))))),"(5.0, 0.0, 0.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Smallest Ronaldo fan,"(5.0, 0.0, 0.0, 0.0)"
응원합니다 red heart,"(5.0, 0.0, 0.0, 0.0)"
That tent is a bit smaller than I thought it would be. But I like the color. It great to try out something new every day. Could you do a night routine? smiling face with smiling eyes,"(5.0, 0.0, 0.0, 0.0)"
"Ich wollte mir einen Translator bei AliExpress bestellen, aber der Xfaiyx scheint hochwertiger zu sein. Ist der Preis gerechtfertigt?","(4.0, 0.0, 1.0, 0.0)"
Do you really have to buy a whole device when you have google,"(2.0, 0.0, 0.0, 0.0)"
Ich liebe die Idee eines Offline-Übersetzers! Perfekt für Reisen in abgelegene Gebiete ohne Internet.,"(1.0, 1.0, 0.0, 0.0)"
"I bought the Xfaiyx Smart Recorder for my journalism work, and it's been a game-changer. The audio clarity is unmatched!","(1.0, 1.0, 0.0, 0.0)"
bro is zoomed down rolling on the floor laughing,"(5.0, 0.0, 0.0, 0.0)"
so smart,"(1.0, 0.0, 0.0, 0.0)"
You and your activities are too cute loudly crying face face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
"Ich habe es bei einem Meeting mit internationalen Kollegen verwendet, und es hat die Kommunikation erleichtert. Sehr empfehlenswert!","(1.0, 1.0, 0.0, 0.0)"
I used it during my trip to Japan and it worked flawlessly! beaming face with smiling eyes,"(1.0, 1.0, 0.0, 0.0)"
한국은 불편충이 넘처납니다,"(5.0, 0.0, 0.0, 0.0)"
why needing seperate hardware when the phone can do the same natively or with an app?,"(2.0, 0.0, 1.0, 0.0)"
Worth the investment for busy schedules.,"(5.0, 0.0, 0.0, 0.0)"
And I oops,"(5.0, 0.0, 0.0, 0.0)"
Bin gespannt ab wann die simultanübersetzung so ausgereift wird wie in Star trek. nur noch eine Frage der Zeit und dann gebe es weniger misstrauen,"(4.0, 0.0, 0.0, 0.0)"
I think some hair might've poked his eyes and he cannot see how stupid he is. The guy is a circus buffoon and suing the guy who put in jail other bigger buffoons is not a smart move.,"(5.0, 0.0, 0.0, 0.0)"
Does the Xfaiyx Smart Translator work offline? That would be super helpful for van life adventures where internet isn't always available.,"(4.0, 1.0, 1.0, 0.0)"
Examples of skilled workers do they need,"(5.0, 0.0, 0.0, 0.0)"
중간에 선전 을 왜 해,"(5.0, 0.0, 0.0, 0.0)"
Does the Xfaiyx Smart Translator come with a warranty? I’m considering buying one but want to know about its durability first.,"(4.0, 0.0, 1.0, 0.0)"
Frivolous lawsuits are against the law!!!!! He needs to be punished for all his misdeeds,"(5.0, 0.0, 0.0, 0.0)"
터키 경제상황이 정말 좋지 않은게 느껴지네요! 우리나라도 경제가 좋지만은 않지만 그래도 대한민국에 태어나 사는것이 축복이라는 건 확실한것 같아요! 연말 가족과 즐겁게 보내시고 내년도 행복한 여행을 함께 해보아요! 캐럿맨 포에버 red heart red heart red heart,"(5.0, 0.0, 0.0, 0.0)"
Waiting for your video,"(5.0, 0.0, 0.0, 0.0)"
"Die Idee eines Fotoübersetzers ist interessant, aber die Qualität der Übersetzung könnte besser sein. Manchmal sind die Ergebnisse ungenau.","(3.0, 0.0, 0.0, 0.0)"
smiling face with hearts,"(5.0, 0.0, 0.0, 0.0)"
"Does the Xfaiyx Smart Translator support multiple languages simultaneously? For example, switching between German and French during a conversation?","(4.0, 0.0, 1.0, 0.0)"
Carrie is there (The princess with a changla) (The cat is dizzy) I can't why do i like this video loudly crying face loudly crying face loudly crying face,"(5.0, 0.0, 0.0, 0.0)"
You're not a good friend,"(5.0, 0.0, 0.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Ja alles klar für 369€ reicht mir mein Smartphone definitiv aus!!,"(2.0, 0.0, 0.0, 0.0)"
clown face clown face clown face,"(5.0, 0.0, 0.0, 0.0)"
lovely,"(5.0, 0.0, 0.0, 0.0)"
My iPad Air 3 can do that,"(4.0, 0.0, 0.0, 0.0)"
Coffeezilla should just play this video for the court rolling on the floor laughing . Systematically broke down the whole lawsuit. Was it a scam? Most probably. What it intentional? It doesnt really matter when you are dealing with people's money. Ignorance isnt bliss. Being a reckless spoilt man child is just as bad as setting out to deliberately scam people in the first place.,"(5.0, 0.0, 0.0, 0.0)"
I hope they add voice recognition for noisy environments in the next version.,"(4.0, 0.0, 0.0, 1.0)"
"튀르키예에서 새롭게 생활을 시작했는데, 이 통역기가 현지 적응에 큰 도움이 됐어요. 특히 시장에서 물건 살 때 유용했습니다.","(1.0, 1.0, 0.0, 0.0)"
Best way to promotion grinning face with sweat grinning face with sweat grinning face with sweat,"(5.0, 0.0, 0.0, 0.0)"
"Super cool device, but how is this different from a regular dictaphone?","(3.0, 0.0, 1.0, 0.0)"
Thanks for sharing this smashing video. It really helped me understand the concepts better.,"(5.0, 0.0, 0.0, 0.0)"
Can this translator help with pronunciation practice? I want to sound more like a native speaker.,"(4.0, 1.0, 1.0, 0.0)"
Smart recorder—smart choice!,"(1.0, 0.0, 0.0, 0.0)"
Same as my phone,"(4.0, 0.0, 0.0, 0.0)"
I LOVE THIS VIDEOO,"(5.0, 0.0, 0.0, 0.0)"
From Jordan Jordan I love you red heart,"(5.0, 0.0, 0.0, 0.0)"
"Cool idea, but it’s just a translator. My phone does the same thing. man shrugging","(2.0, 0.0, 0.0, 0.0)"
“Hi apnavi theres niro” and “Carrie’s there”,"(5.0, 0.0, 0.0, 0.0)"
what are the AI features,"(4.0, 0.0, 1.0, 0.0)"
Can we have Judge Judy on the case? lol,"(5.0, 0.0, 0.0, 0.0)"
우리나라도 연금문제 해결 못하면 결국 인플레.,"(5.0, 0.0, 0.0, 0.0)"
rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing loudly crying face,"(5.0, 0.0, 0.0, 0.0)"
why logan paul on mr beast video only answer is because logan paul and mr beast is on the same group lets say this group is like MCN where YouTube offer big youtuber a contract to support them in a way to promote there video easy get more exposure and they use the YouTube algorithm as excuse to cover up there method to promote the video of youtuber same group where logan paul and mr beast is a member to make a example people that is big youtuber that have more than 3m subscriber cant gain 300k views with in a day vs those that same member on a group where logan paul and mr beast is a member can easily get 500k to 1m more views in a day or lets 1 an hour so yes youtube will protect logan paul and mr beast same goes to sniperwolf and other big youtuber that is a member of the MCN Group.,"(5.0, 0.0, 0.0, 0.0)"
Girls have girls 5,"(5.0, 0.0, 0.0, 0.0)"
"여행 중에 사용했는데, 번역 정확도가 높아서 현지인들과 대화하기 훨씬 편했어요. 추천합니다!","(1.0, 1.0, 0.0, 0.0)"
"So Coffee has just posted a couple of interesting new videos (and let's not forget Devin ""Legal Eagle"" Stone's video about this, either, where he talked with one of Coffee's lawyers). Key points: The timing of this lawsuit is very suspicious -- just 3 hours before a video about another questionable Logan Paul endeavor was about to drop. Coffee's insurance, which he thought he bought for exactly this situation, refuses to pay because, unknown to him or his broker, they explicitly excluded ""defamation"" lawsuits. And as a result, he's selling shirts to help cover his legal costs. I'll note that, as alluded to here, it's curious that this is filed as a federal suit, since both Paul and Findeisen apparently live in Texas. If true, that suggests that one of the first moves might be to get the suit moved into state court, where the SLAPP statute could be applied (thus avoiding the expensive discovery process -- though I agree that the results, on Paul's side, could prove very interesting).","(5.0, 0.0, 0.0, 0.0)"
The price seems reasonable for the features offered. Good value?,"(4.0, 0.0, 1.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
I’m disappointed with Xfaiyx. It failed to translate basic phrases correctly during my trip to the UK.,"(2.0, 1.0, 0.0, 0.0)"
"I love how compact it looks, perfect for traveling abroad! smiling face with hearts","(1.0, 1.0, 0.0, 0.0)"
smart!,"(1.0, 0.0, 0.0, 0.0)"
I don't think Logan Paul fans can legally serve on juries.,"(5.0, 0.0, 0.0, 0.0)"
이 통역기의 크기가 휴대하기 편한가요? 여행용으로 적합한지 알고 싶습니다.,"(4.0, 1.0, 1.0, 0.0)"
"Cool gadget, but can it handle multiple speakers in a noisy environment?","(3.0, 0.0, 1.0, 0.0)"
I love how lightweight it is. Makes it easy to carry around all day without any hassle.,"(1.0, 1.0, 0.0, 0.0)"
I’m not sure if the Xfaiyx Smart Translator is worth the price. The features seem similar to cheaper alternatives.,"(2.0, 0.0, 0.0, 0.0)"
caout red handed,"(5.0, 0.0, 0.0, 0.0)"
How tall is bro loudly crying face,"(5.0, 0.0, 0.0, 0.0)"
Meiner & nicht lernfähig face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Versteh den Zusammenhang mit dem Auto nicht smiling face with tear,"(5.0, 0.0, 0.0, 0.0)"
No f ing way my dad has the exact same phone case from casetify the one Carrie is carrying face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
my favorite part of this video is the dog totally chillin' on the chair behind her....,"(5.0, 0.0, 0.0, 0.0)"
the end is funny sparkles,"(5.0, 0.0, 0.0, 0.0)"
Les va quitar el trabajo a la gente que estudia idioma profesional ?,"(4.0, 0.0, 1.0, 0.0)"
23:20 I approve the state of mind of the plaintiff in the background of this video :D,"(5.0, 0.0, 0.0, 0.0)"
ganz ohne Internet ? glaube ich nicht,"(2.0, 0.0, 1.0, 0.0)"
"At some juncture, WWEs legal team will step in and tell Logan to back it down or they will pass on his legally hazardous reputation as a caution to those responsible for renewing his contract. Regardless of what Logan does, if he takes things too far, they won't allow another massive legal issue so soon, and will rid themselves of him, telling the audience that they ""just recently learned of his (ahem) unfortunate endeavors not related to WWE"".","(5.0, 0.0, 0.0, 0.0)"
"Die Unterstützung für über 70 Sprachen ist beeindruckend, aber ich frage mich, ob die Qualität bei weniger verbreiteten Sprachen genauso gut ist?","(3.0, 0.0, 1.0, 0.0)"
face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
I read thru a lot of the info I could dig up on this. Logan Paul is not gonna come out of it looking very good. Yet another POS who would do ANYTHING for more clicks......,"(5.0, 0.0, 0.0, 0.0)"
"It is rather funny that Logan constantly said in every video I have seen about his alleged scams, that “HE” created these projects. “Crypto zoo is a project I created” that’s publicly taking responsibility for the project. To later try and distance himself from the project doesn’t really work when he openly took responsibility for it when pushing the currency.","(5.0, 0.0, 0.0, 0.0)"
growing heart growing heart growing heart,"(5.0, 0.0, 0.0, 0.0)"
Recorder app comes free on Pixel phones.,"(4.0, 0.0, 0.0, 0.0)"
"It has nothing to do with whether or not he will win. This is about having money and using it to cause Coffeezilla to be financially impacted (legal fees) and silence him (either temporarily due to legal action or simply through intimidation). Thankfully, millions of viewers stand behind Coffeezilla for his thorough investigative journalism and I sincerely hope he can continue to be a beacon of truth. Sidenote; after dink doink, why are people still investing with the guy?","(5.0, 0.0, 0.0, 0.0)"
all along I thought bro was tall,"(5.0, 0.0, 0.0, 0.0)"
flushed face,"(5.0, 0.0, 0.0, 0.0)"
For those who don't know Niro was carrie's high school crush face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Carry is there face with tears of joy face with tears of joy face with tears of joy maybe me laugh,"(5.0, 0.0, 0.0, 0.0)"
kann mein Smartphone auch,"(2.0, 0.0, 0.0, 0.0)"
Right to privacy face with tears of joy face with tears of joy face with tears of joy .. men cant be real even with a friend,"(5.0, 0.0, 0.0, 0.0)"
Best way to promote app face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
I love how compact the Xfaiyx Smart Recorder is! It's so easy to carry around for fieldwork.,"(1.0, 1.0, 0.0, 0.0)"
Good ad tbf. Shame they can’t offer you height instead of money loudly crying face loudly crying face loudly crying face loudly crying face (jk nayeem it’s not personal),"(5.0, 0.0, 0.0, 0.0)"
Dirty carrie.. give some respect when people are talking privatly..have some common sense carrrie. So shameless person facepalming,"(5.0, 0.0, 0.0, 0.0)"
"Leider ist die Übersetzungsqualität bei komplexen Sätzen nicht zufriedenstellend. Ich hoffe, dass zukünftige Updates dies verbessern.","(2.0, 0.0, 0.0, 1.0)"
'You want respect for me wait I will tell you now' goblin ogre nick and niro be like weary cat fearful face . Carrie : smiling face with horns crossed swords drop of blood coffin,"(5.0, 0.0, 0.0, 0.0)"
I wish the battery life was longer. It barely lasts a full day of recording.,"(2.0, 0.0, 0.0, 1.0)"
When will you marry each other,"(5.0, 0.0, 0.0, 0.0)"
To have a reputation harmed you need to have a good reputation to start with. This is a simple slap law suite.,"(5.0, 0.0, 0.0, 0.0)"
"Ich finde den Xfaiyx Übersetzer super praktisch für Reisen, besonders weil er über 70 Sprachen unterstützt. Das macht ihn zu einem unverzichtbaren Gadget!","(1.0, 1.0, 0.0, 0.0)"
Schafft das Xfaiyx auch Übersetzungen bei Telefonaten wie das heutige s24?,"(4.0, 0.0, 1.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Pls pin,"(5.0, 0.0, 0.0, 0.0)"
Ohhh i thought it's a Walkman,"(4.0, 0.0, 0.0, 0.0)"
Wow apnavi is so beautiful red heart red heart red heart,"(5.0, 0.0, 0.0, 0.0)"
Carrie sister is so sus and cute,"(5.0, 0.0, 0.0, 0.0)"
early,"(5.0, 0.0, 0.0, 0.0)"
"Check the link in my bio for a deal, or: Black Friday: iFTBF for 10% off! Amazon: code Xfaiyx40!","(1.0, 0.0, 0.0, 0.0)"
Does it support multiple languages?,"(4.0, 0.0, 1.0, 0.0)"
oooo~ their in trouble,"(5.0, 0.0, 0.0, 0.0)"
How do you keep motivated to do assignments if there is no deadline I am doing a level 3 diploma in zoo keeping it’s online and there is no deadlines and the tutor is not the best at responding it can take up to 2 weeks or more for a response but I do struggle to complete an assignment as there is no deadlines for me to keep a routine?,"(5.0, 0.0, 0.0, 0.0)"
When your pakistani and naturally understand hindi face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
He’s hidding his pettiness with false bravado. He’a going to fold sooner or later when he realizes this is going to incriminate himself.,"(5.0, 0.0, 0.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
"Last I heard, Coffeezilla got bamboozled by his insurance and is not covered for the defamation lawsuit. I hope all the YouTubers that are making money from this story, use it to help Coffeezilla.","(5.0, 0.0, 0.0, 0.0)"
what are the AI features,"(4.0, 0.0, 1.0, 0.0)"
"Wow, this host is adorable smiling face with heart-eyes","(5.0, 0.0, 0.0, 0.0)"
That escapee rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing rolling on the floor laughing,"(5.0, 0.0, 0.0, 0.0)"
Bro got scared. loudly crying face rolling on the floor laughing,"(5.0, 0.0, 0.0, 0.0)"
Nick be like: oh sh,"(5.0, 0.0, 0.0, 0.0)"
¿Tiene soporte para traducción instantánea en chats? Esto sería ideal para comunicación remota.,"(4.0, 1.0, 1.0, 0.0)"
"Ganz ohne Internet? Das klingt zu schön, um wahr zu sein. Funktioniert das wirklich zuverlässig?","(4.0, 0.0, 1.0, 0.0)"
"I tried using it in a crowded café, and the noise reduction worked perfectly. Highly recommend!","(1.0, 1.0, 0.0, 0.0)"
"Something I imagine will be unearthed in discovery is the history and current state of the game (if it exists) and whether it advanced at all after Logan promised to finish it. The question ""what has Logan done to fulfill that promise?"" could be important, since if the answer is ""nothing"" it's going to be pretty hard to argue Coffee's statements were false. It would also settle the question of whether calling it ""Logan's scam"" is reasonable, as even if it wasn't exclusively his before, it became his after he promised to finish the project. IF he made no effort to follow through on that promise, I'm not sure what else you would call it but a scam. I AM sure Logan wishes they were both in the UK or Australia. Defamation laws there are brutally rigged in favour of wealthy plaintiffs. As it stands, I think he's going to get slapped with the Streisand Effect while pursuing this case. Reporting on the minutiae of YouTube celebrity drama, beef and misdeeds is a genre that whole channels are based on. The genre's narrative requires a ""villain"" to be ""exposed"", and it's almost never the little guy. Those channels will revisit every scandal Logan has ever been even adjacent to, and probably dig up some new ones as well. Maybe he's deliberately trying to build his reputation for villainy as part of his wrestling career.","(5.0, 0.0, 0.0, 0.0)"
it was fun clinking glasses,"(5.0, 0.0, 0.0, 0.0)"
Will it translate between Yorkshire and Black Country languages.,"(4.0, 0.0, 1.0, 0.0)"
Warum sollte man sowas brauchen? Ein Handy mit einem Übersetzer reicht doch aus!,"(2.0, 0.0, 1.0, 0.0)"
Was that a bottle of frozen water at the 4:25 mark?! face with tears of joy f cold face cold face cold face,"(5.0, 0.0, 0.0, 0.0)"
국민들 허리띠 매야 살겠구나,"(5.0, 0.0, 0.0, 0.0)"
"I used this during a conference, and the transcription was surprisingly accurate! clapping hands","(1.0, 1.0, 0.0, 0.0)"
우리는 소득주도성장이라 괜츈함 소득이 있는데 물가올라밨짜임 장하성 문재인 콜라보 만쉐이 ~~ 참 집값도 졸라올려놔서 소득주도됨 ᄏᄏ,"(5.0, 0.0, 0.0, 0.0)"
"Can you edit recordings directly on the device, or do you need to use a computer?","(4.0, 0.0, 1.0, 0.0)"
"Dear all , I have already given an interview in a German company. They are willing to take me. Industrial Swing Machine Mechanic. Currently working in Romania. Before that I worked in Bangladesh and Ethiopia. I have 12 years experience as a mechanic. Even trained some machine companies. I have completed high school certificate I don't have a university degree. So what can I do or what can the company do. A university degree is impossible to get a job. I don't understand what to do","(5.0, 0.0, 0.0, 0.0)"
fire fire fire,"(5.0, 0.0, 0.0, 0.0)"
"I want that gadget, Carrie where to buy?","(1.0, 0.0, 1.0, 0.0)"
"If you ever get sick & tired of Tamara, just ship her to Washington state in the US. I will pay for shipping face with tears of joy","(5.0, 0.0, 0.0, 0.0)"
"Für jemanden, der oft ins Ausland reist, könnte das nützlich sein. Aber ich frage mich, wie viele Sprachen unterstützt werden?","(4.0, 1.0, 1.0, 0.0)"
"I have this sneaking suspicion that Logan Paul is closer to an idiot who keeps allowing scam actors to convince him to package their scams into his ideas, or perhaps to sponsor their scams directly. Being an idiot, or incompetent is not a defense. Just look at what happened to SBF as an example.","(5.0, 0.0, 0.0, 0.0)"
"Türkiye everyone is Mary Christmas. Happy New Year, Ataturk~ party popper party popper red heart red heart","(5.0, 0.0, 0.0, 0.0)"
Oooooooooh someone is in trouble now face with tears of joy the last part it's just funny face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
"According to Coffee there’s still a lot of missing money..If that’s the case I think Logan has an unnamed person who the missing money to split with Logan. And since Logan never sold his coin, Logan looks innocent. Logan knew what was going to happen plus he took all credit for the coin. Apparently he developed and put in his own money and then used his fame to lure investors.","(5.0, 0.0, 0.0, 0.0)"
bro is shorter than everyone handshake,"(5.0, 0.0, 0.0, 0.0)"
이 통역기가 오프라인에서도 작동하나요? 인터넷 연결 없이 사용할 수 있는지 궁금합니다.,"(4.0, 0.0, 1.0, 0.0)"
"Die Bedienung des Xfaiyx ist nicht so intuitiv, wie ich erwartet habe. Eine bessere Anleitung wäre hilfreich.","(2.0, 0.0, 0.0, 1.0)"
Sheesh I use that translator alr,"(1.0, 1.0, 0.0, 0.0)"
That's why don't get in love face with tears of joy face with tears of joy red heart,"(5.0, 0.0, 0.0, 0.0)"
I'm impressed by the AI features. Does it improve accuracy over time?,"(1.0, 0.0, 1.0, 0.0)"
1금융권이 보통 금리가 더 낮지않나요? 한국은 2금융권 저축은행 이런곳이 더 높은디,"(5.0, 0.0, 0.0, 0.0)"
Kann man damit auch Dialekte übersetzen oder nur Standardsprachen?,"(4.0, 0.0, 1.0, 0.0)"
Nick last word Ahhhhhhhhhh,"(5.0, 0.0, 0.0, 0.0)"
"19:19 laura,why she used since here? Could you please clear my doubt.","(5.0, 0.0, 0.0, 0.0)"
another item my phone can already do,"(2.0, 0.0, 0.0, 0.0)"
Wait isn’t Niro carries crush or smth skull,"(5.0, 0.0, 0.0, 0.0)"
nice,"(1.0, 0.0, 0.0, 0.0)"
Ja das bestimmt wieder Android drauf,"(5.0, 0.0, 0.0, 0.0)"
Hot potato potato,"(5.0, 0.0, 0.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
Iam arabic following you from iraq,"(5.0, 0.0, 0.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
"Ich brauche eigentlich nur Deutsch - Rumänisch für den Schwiegervater. Gibt's den dann um € 99,- ? Der braucht auch kein Internet - eigentlich nur ein Stationäres Gerät ohne Schnickschnack. Nur zum einfachen Verwenden mit der Rumänischen Pflegerin","(4.0, 1.0, 1.0, 0.0)"
"The idea of a smart translator is great, but I found Xfaiyx struggles with fast speech. Hope they improve this feature soon.","(3.0, 0.0, 0.0, 1.0)"
Buenas,"(5.0, 0.0, 0.0, 0.0)"
"I see a lot of couple commenting that this lawsuit is going nowhere for logan and that might be true he has a lot of money to throw around , but thats just it coffie has to pay out of his own pocket to fund his lawyers thats the whole point for Logan to drain coffiezilla’s money and scare him or anyone else from calling out his scams in the future. Scumbag behaviour","(5.0, 0.0, 0.0, 0.0)"
€ ?,"(1.0, 0.0, 0.0, 0.0)"
How hasn't this piece of shit been sued himself?,"(5.0, 0.0, 0.0, 0.0)"
bro does NOT speak german folded hands skull,"(5.0, 0.0, 0.0, 0.0)"
Does the Xfaiyx Smart Recorder come with a warranty? I'm worried about durability over time.,"(4.0, 0.0, 1.0, 0.0)"
am.sure that's called a dictorphone,"(4.0, 0.0, 0.0, 0.0)"
Hahahahahahahahaahhaaha,"(5.0, 0.0, 0.0, 0.0)"
ground,"(5.0, 0.0, 0.0, 0.0)"
¿Este traductor funciona sin conexión a internet? Sería muy útil para viajes.,"(4.0, 1.0, 1.0, 0.0)"
Bro died as afk,"(5.0, 0.0, 0.0, 0.0)"
Bro why the cat like dying face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
how much is the price,"(1.0, 0.0, 1.0, 0.0)"
face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
"I bought the Xfaiyx Smart Recorder last week, and it's been amazing for capturing audio during my lectures. Highly recommend it!","(1.0, 1.0, 0.0, 0.0)"
HELP-,"(5.0, 0.0, 0.0, 0.0)"
Lol now can simply use chatgpt app on phone face with tears of joy face with tears of joy face with tears of joy,"(2.0, 0.0, 0.0, 0.0)"
Why would I buy this when my phone already does the same thing? man shrugging,"(2.0, 0.0, 1.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy nicee move carry and niro,"(5.0, 0.0, 0.0, 0.0)"
please give me folded hands,"(1.0, 0.0, 0.0, 0.0)"
Apnavi's model walk though she slayed it red heart red heart,"(5.0, 0.0, 0.0, 0.0)"
An other device that could have been an app,"(2.0, 0.0, 0.0, 0.0)"
My samsung phone does that already,"(4.0, 0.0, 0.0, 0.0)"
Rip nick face with tears of joy skull face with tears of joy skull face with tears of joy skull face with tears of joy skull face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
ASIAN MOTHER MODE SIA face with open mouth face with open mouth face with open mouth face with open mouth,"(5.0, 0.0, 0.0, 0.0)"
really good research wow,"(5.0, 0.0, 0.0, 0.0)"
bro's deluluing,"(5.0, 0.0, 0.0, 0.0)"
Phones can do that too. Next,"(2.0, 0.0, 0.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy HAHAHAHAHAHAHAH,"(5.0, 0.0, 0.0, 0.0)"
New SUB frr,"(5.0, 0.0, 0.0, 0.0)"
와우 sparkles 메리크리스마스요~ clinking beer mugs snowman snowman snowman thumbs up light skin tone waving hand,"(5.0, 0.0, 0.0, 0.0)"
일빠,"(5.0, 0.0, 0.0, 0.0)"
I already know this language that the other guy was speaking,"(5.0, 0.0, 0.0, 0.0)"
굿~,"(5.0, 0.0, 0.0, 0.0)"
smiling face with smiling eyes smiling face with smiling eyes smiling face with smiling eyes smiling face with smiling eyes,"(5.0, 0.0, 0.0, 0.0)"
"Die Sprachenvielfalt ist beeindruckend, aber ich finde die Übersetzungsqualität bei komplexen Sätzen nicht ausreichend.","(3.0, 0.0, 0.0, 0.0)"
This is really cool I need one,"(1.0, 0.0, 0.0, 0.0)"
my phone does the same thg,"(2.0, 0.0, 0.0, 0.0)"
face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
I was going like oooooooooooooooooooooooooooooooooooooooooooooooo grinning face with sweat grinning face with sweat grinning face with sweat party popper red heart,"(5.0, 0.0, 0.0, 0.0)"
¿Es compatible con auriculares Bluetooth? Sería más cómodo usarlo así.,"(4.0, 0.0, 1.0, 0.0)"
It is a useful tool with more comprehensive functions. thinking face,"(1.0, 0.0, 0.0, 0.0)"
"Sehr enttäuschend, dass der Xfaiyx Übersetzer keine Unterstützung für bestimmte Dialekte wie Pashto bietet. Das schränkt seine Nützlichkeit ein.","(2.0, 0.0, 0.0, 0.0)"
Does anyone know if the Xfaiyx Smart Translator supports more than 50 languages? I couldn’t find this info anywhere.,"(4.0, 0.0, 1.0, 0.0)"
and so can my phone or literally any phone,"(2.0, 0.0, 0.0, 0.0)"
How's the battery life on this device?,"(4.0, 0.0, 1.0, 0.0)"
grinning face with sweat grinning face with sweat grinning face with sweat grinning face with sweat grinning face with sweat face with tears of joy grinning face with sweat grinning face with sweat grinning face with sweat grinning face with sweat face with tears of joy grinning face with sweat face with tears of joy grinning face with sweat grinning face with sweat face with tears of joy grinning face with sweat face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
smiling face with hearts smiling face with hearts smiling face with hearts,"(5.0, 0.0, 0.0, 0.0)"
When you get merry dear friends party popper face with tears of joy,"(5.0, 0.0, 0.0, 0.0)"
hello,"(5.0, 0.0, 0.0, 0.0)"
its tpycial SLAPP lawsuit that will be dissmissed hopefully,"(5.0, 0.0, 0.0, 0.0)"
"Warum sollte ich den Xfaiyx kaufen, wenn mein Google Übersetzer auch offline funktioniert und persisch unterstützt?","(2.0, 0.0, 1.0, 0.0)"
Endlich mal gepflegte Hände. Ich wollte mir mal einen Translator bei Ali- Express bestellen. Da waren die aber längst nicht so teuer. Die laufen auch mit Android.,"(2.0, 0.0, 0.0, 0.0)"
이 모씨가 대통령이 되면 다가올 우리 미래.,"(5.0, 0.0, 0.0, 0.0)"
I was thinking of the poor tv loudly crying face,"(5.0, 0.0, 0.0, 0.0)"
clear audio sounded not that clear....,"(2.0, 0.0, 0.0, 0.0)"
Bhai Aaj to gya grinning face with sweat grinning face with sweat grinning face with sweat grinning face with sweat grinning face with sweat,"(5.0, 0.0, 0.0, 0.0)"
